NR_1;KOEN;FOEDELSEAAR;INVAANARE;DRAGNING;SEXUELLT_UMG1;SEXUELLT_UMG2;SEXUELL_INRIKTN;TALADE1;TALADE2;INRIKTNING;AALDER_SEXUELL_INRIKTN1;AALDER_SEXUELL_INRIKTN2;OENSKAN;SKAM;ENSAM;TRAEFFA;LAERDE_KAENNA1;LAERDE_KAENNA2;TRAEFFA_HOMO_BI;KONTAKT1;KONTAKT2;KONTAKT3;KONTAKT4;KONTAKT5;ORGANISATION;FOERHAALANDE_SAMMA_KOEN;VILJA_HA;TIDIGARE_FOERHAALANDE;SAMBO_KVINNA;SAMBO_MAN;TEKNA_HYRESKONTRAKT;VAEGRATS_HYRESKONTRAKT1;VAEGRATS_HYRESKONTRAKT2;HETEROSEXUELLA_BEKANTA;TALAT_OM;BEKANTAS_REAKTION1;BEKANTAS_REAKTION2;BEKANTAS_REAKTION3;BEKANTAS_REAKTION4;BEKANTAS_REAKTION5;BEKANTAS_REAKTION6;BEKANTAS_REAKTION7;BEKANTAS_REAKTION8;BEKANTAS_REAKTION9;BEKANTAS_REAKTION10;BEKANTAS_REAKTION11;BEKANTAS_REAKTION12;BEKANTAS_REAKTION13;FOERVAENTAD_REAKTION1;FOERVAENTAD_REAKTION2;FOERVAENTAD_REAKTION3;FOERVAENTAD_REAKTION4;FOERVAENTAD_REAKTION5;FOERVAENTAD_REAKTION6;FOERVAENTAD_REAKTION7;FOERVAENTAD_REAKTION8;FOERVAENTAD_REAKTION9;FOERVAENTAD_REAKTION10;FOERVAENTAD_REAKTION11;FOERVAENTAD_REAKTION12;FOERVAENTAD_REAKTION13;FOERVAENTAD_REAKTION14;SYSSELSAETTNING1;YRKE;FUNKTION;UTBILDNING;ARBETSKAMRATER;ARBETSKAMRAT_BEMOETANDE1;ARBETSKAMRAT_BEMOETANDE2;ARBETSKAMRAT_BEMOETANDE3;ARBETSKAMRAT_BEMOETANDE4;ARBETSKAMRAT_BEMOETANDE5;ARB_KAMRAT_OVAENLIGT;DISKRIMINERING1;DISKRIMINERING2;DISKRIMINERING3;DISKRIMINERING4;DISKRIMINERING5;DISKRIMINERING6;DISKRIMINERING_AAR;DISKRIMINERING_ARBPLATS;KOENSSJUKDOM1;KOENSSJUKDOM2;PSYK1;PSYK2;PSYK3_1;PSYK3_2;PSYK3_3;PSYK3_4;PSYK3_5;PSYK3_6;HJAELP;NEDSTAEMD1;NEDSTAEMD2
1;Man;45;Fler än 150000 invånare;24;Ja;25;25;Ja;25;Homosexuell;Ja;25;Nej;Nej;Nej, det har jag aldrig gjort;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;25;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Ja;Nej;Ja;Nej;Ja;Ja;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Ja, jag har tidigare sammanbott med en man (män);Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;X;;;;;;;X;;;;;;;;;;;;;;;;X;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Flera vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Ja
2;Man;32;10000-40000 invånare;14;Ja;17;15;Ja;20;Homosexuell;Ja;18;Nej;Nej;Nej, inte nuförtiden;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;17;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Nej;Nej;Nej;Nej;Nej;Ja;Ja;Nej;Ja, jag har tidigare sammanbott med en man (män);Nej;Nej;;Någon enstaka vet eller förstår det;Ja, för flera bakanta;;;;;;X;;;;;;;;;;;;;X;;X;;;;;;;Förvärvsarbe;Tjänstemän, ospecificerad;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Jag vet inte om någon förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Ja, någon/några har varit ovänliga eller fientliga;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
3;Man;61;Fler än 150000 invånare;7;Ja;7;12;Ja;14;Homosexuell;Ja;14;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag då och då;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;14;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Nej;Nej;Nej;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;X;;;;;;;;;;;;;;;;;;;;;;;;X;;Hemmaman/Hemmafru;;;;Jag har inga arbetskamrater eller studiekamrater;Jag har inga arbetskamrater (studiekamrater); ; ; ; ;Ja, någon/några har varit ovänliga eller fientliga;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Nej
4;Man;19;40000-150000 invånare;20;Ja;42;30;Ja;42;Heterosexuell med vissa homosexuella inslag;Ja;41;Nej;Nej;Ja, det gör jag under långa perioder;Jag träffar homo/bisexuella vänner mycket sällan;Ja;42;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Nej;Nej;Nej;Nej;Nej;Ja;Nej;Ja, jag sammanbor nu med en kvinna;Nej;Nej;Nej;;Jag vet inte om någon förstår det;Ja, för en bekant;;;;;;;;X;;;;;;;;;;;;X;;;;;;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;;;X;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Ja
5;Man;39;Jag bor på landsbygden;30;Ja;30;30;Jag har aldrig haft talat med någon om min sexuella läggning;0;Bisexuell;Ja;30;Ja, jag önskar nu att jag vore (helt) heterosexuell;Nej;Ja, men bara vid enstaka tillfällen;Jag träffar homo/bisexuella vänner mycket sällan;Ja;37;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Ja;Nej;Nej;Nej;Nej;Nej;Nej;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Nej;Nej;Nej;;Ingen av mina heterosexuella bekanta vet eller förstår det;Nej; ; ; ; ; ; ; ; ; ; ; ; ;Inget svar;;;X;;;X;X;X;;;;;;;Egen företagare;Jordbruk, fiske, skogsbruk;Arbetsledande funktion;Ingen eftergymnasial utbildning;Jag har inga arbetskamrater eller studiekamrater;Jag har inga arbetskamrater (studiekamrater); ; ; ; ;Jag har inga arbetskamrater (studiekamrater);Jag har aldrig förvärvsarbetet; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
6;Man;19;Fler än 150000 invånare;12;Ja;14;17;Ja;17;Homosexuell;Ja;17;Nej;Nej;Ja, men bara vid enstaka tillfällen;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;16;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Nej;Nej;Nej;Ja;Nej;Ja;Ja;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Nej;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;X;X;;;;;;;;;;;;X;;;;;;;;;;;;;Förvärvsarbe;Journalistik, litterär verksamhet;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Flera vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Ja, en psykiater;Ja;;;;;;X;Ja;Nej;
7;Man;53;Fler än 150000 invånare;15;Ja;18;15;Ja;20;Homosexuell;Ja;18;Nej;Nej;Ja, men bara vid enstaka tillfällen;9;Ja;18;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Nej;Ja;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Ja;79;Flera vet eller förstår det;Ja, för flera bakanta;;;;;;;;X;X;;;;;;;;;;;;X;X;;;;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Ja;;;X;;Ja, någon/några har varit ovänliga eller fientliga och ja, någon/några har undvikit kontakt med mig;Jag har diskriminerats;;;;;X;Har diskriminerats men ej angett år;Har svarat i fritextfältet;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Nej
8;Man;20;Fler än 150000 invånare;20;Ja;21;20;Ja;25;Homosexuell;Ja;20;Nej;Ja;Nej, inte nuförtiden;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;22;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Ja;Nej;Ja;Ja;Nej;Ja, jag har tidigare sammanbott med en man (män);Nej;Nej;;Någon enstaka vet eller förstår det;Nej;;;;;;;;;;X;;;;;;;;;;;X;;;;X;;;Förvärvsarbe;Industriell tillverkning;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Ja;X;;;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
9;Man;43;40000-150000 invånare;14;Ja;14;16;Ja;22;Homosexuell;Ja;25;Nej;Ja;Ja, det gör jag då och då;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;14;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Nej;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;;X;X;X;X;;;;;;;;;X;X;X;X;X;;;;;;;;;Förvärvsarbe;Undervisning, forskning;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Flera vet eller förstår det;Ja;X;;;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Nej
10;Man;56;40000-150000 invånare;10;Ja;13;15;Ja;15;Homosexuell;Inget svar;;Nej;Nej;Ja, det gör jag då och då;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;14;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Nej;Nej;Nej;Ja;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;Studerande;;;;Flera vet eller förstår det;Ja;;;X;;Inget svar;Jag har diskriminerats;X;;;;;78;Har svarat i fritextfältet;Ja;Nej;Ja, en psykiater;Nej;;X;;;;;Ja;Ja, jag har känt mig nedstämd (deprimerad);Nej
