###############################################################
#### Detta datamaterial innehåller information gällande    ####
#### bekräftade fall av covid-19 i vissa svenska regioner. ####
#### Den studerade tidsperioden är 2020-02-04 - 2020-10-27 ####
###############################################################



"","Statistikdatum","Totalt_antal_fall","Dalarna","Uppsala"
"1",2020-02-04,1,0,0
"2",2020-02-05,0,0,0
"3",2020-02-06,0,0,0
"4",2020-02-07,0,0,0
"5",2020-02-08,0,0,0
"6",2020-02-09,0,0,0
"7",2020-02-10,0,0,0
"8",2020-02-11,0,0,0
"9",2020-02-12,0,0,0
"10",2020-02-13,0,0,0
"11",2020-02-14,0,0,0
"12",2020-02-15,0,0,0
"13",2020-02-16,-99,0,0
"14",2020-02-17,0,0,0
"15",2020-02-18,0,0,0
"16",2020-02-19,0,0,0
"17",2020-02-20,0,0,0
"18",2020-02-21,0,0,0
"19",2020-02-22,0,0,0
"20",2020-02-23,0,0,0
"21",2020-02-24,0,0,0
"22",2020-02-25,0,0,0
"23",2020-02-26,1,0,0
"24",2020-02-27,1,0,0
"25",2020-02-28,8,0,2
"26",2020-02-29,-99,0,0
"27",2020-03-01,0,0,0
"28",2020-03-02,5,0,0
"29",2020-03-03,13,NA,0
"30",2020-03-04,30,0,0
"31",2020-03-05,25,0,2
"32",2020-03-06,59,0,1
"33",2020-03-07,33,0,1
"34",2020-03-08,46,0,1
"35",2020-03-09,101,0,0
"36",2020-03-10,98,0,4
"37",2020-03-11,196,1,4
"38",2020-03-12,151,3,11
"39",2020-03-13,152,1,10
"40",2020-03-14,71,0,4
"41",2020-03-15,69,0,0
"42",2020-03-16,83,0,2
"43",2020-03-17,119,3,5
"44",2020-03-18,145,2,17
"45",2020-03-19,143,2,5
"46",2020-03-20,180,5,1
"47",2020-03-21,136,0,2
"48",2020-03-22,118,5,5
"49",2020-03-23,182,9,8
"50",2020-03-24,230,9,11
"51",2020-03-25,314,13,15
"52",2020-03-26,286,8,12
"53",2020-03-27,365,15,20
"54",2020-03-28,300,6,7
"55",2020-03-29,280,10,11
"56",2020-03-30,416,9,21
"57",2020-03-31,475,NA,15
"58",2020-04-01,486,19,25
"59",2020-04-02,554,6,28
"60",2020-04-03,601,20,38
"61",2020-04-04,357,18,11
"62",2020-04-05,340,7,9
"63",2020-04-06,389,16,31
"64",2020-04-07,738,28,37
